contributor,full name,citizenship,texts,occupation,birth,death,age_of_armistice,date of birth,age,date of death
R. W. Seton-Watson  ,Robert William Seton-Watson,United Kingdom,81,"historian, journalist",20 August 1879,25 July 1951,39,1879-08-20T00:00:00Z,37,1951-07-25T00:00:00Z
 A. F. Whyte        ,Frederick Whyte,United Kingdom,78,"journalist, politician",1 January 1883,1 January 1970,35,1883-01-01T00:00:00Z,33,1970-01-01T00:00:00Z
 George Glasgow     ,George Glasgow     ,United Kingdom,53,"journalist, teacher",,,,,,
 Reginald W. Leeper ,Reginald Leeper,United Kingdom,23,diplomat,25 March 1888,2 February 1968,30,1888-03-25T00:00:00Z,28,1968-02-02T00:00:00Z
 Thomas G. Masaryk  ,Tomáš Garrigue Masaryk,Austria-Hungary,18,"politician, philosopher,",7 March 1850,14 September 1937,68,1850-03-07T00:00:00Z,66,1937-09-14T00:00:00Z
 A. W. A. Leeper    ,Allen Leeper,Australia,17,diplomat,4 January 1887,24 January 1935,31,1887-01-04T00:00:00Z,29,1935-01-24T00:00:00Z
 Ronald M. Burrows  ,Ronald M. Burrows,United Kingdom,14,"archaeologist, historian, classical scholar",16 August 1867,14 May 1920,51,1867-08-16T00:00:00Z,49,1920-05-14T00:00:00Z
 Émile Cammaerts    ,Émile Cammaerts,Belgium,13,"playwright, poet, writer",16 March 1878,2 November 1953,40,1878-03-16T00:00:00Z,38,1953-11-02T00:00:00Z
 Arnold J. Toynbee  ,Arnold J. Toynbee,United Kingdom,12,"historian, diplomat",14 April 1889,22 October 1975,29,1889-04-14T00:00:00Z,27,1975-10-22T00:00:00Z
 Auster             ,"pseudonym, possibly Seton-Watson",,12,,,,,,,
 George Young       , George Young       ,United Kingdom,12,"diplomat, official",,,,,,
 J. C. Powell       , J. C. Powell       ,United Kingdom,12,"diplomat, official",,,,,,
 C. L.              , C. L.              ,Switzerland?,11,,,,,,,
 Alfred E. Zimmern  ,Alfred Eckhard Zimmern,United Kingdom,10,"historian, political scientist",26 January 1879,24 November 1957,39,1879-01-26T00:00:00Z,37,1957-11-24T00:00:00Z
 S. de Madariaga    ,Salvador de Madariaga,Spain,10,"diplomat, historian, novelist, journalist",23 July 1886,14 December 1978,32,1886-07-23T00:00:00Z,30,1978-12-14T00:00:00Z
